drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Gilenya,fingolimod,Capsules,Gilenya (fingolimod) is a sphingosine 1-phosphate receptor modulator indicated for the treatment of patients with relapsing forms of multiple sclerosis.,2010-09-21,Novartis,Multiple Sclerosis,Neurological,Neurological Disorders
Krystexxa,pegloticase,Injection,Krystexxa (pegloticase) is a PEGylated uric acid specific enzyme indicated for the treatment of chronic gout in adult patients refractory to conventional therapy.,2010-09-14,Savient Pharmaceuticals,Gout,Anti-inflammatories,Musculoskeletal Disorders
Tekamlo,aliskiren and amlodipine,Tablets,Marketing Status:Discontinued,2010-08-26,Novartis Pharmaceuticals,High Blood Pressure,Cardiovascular,Cardiovascular Diseases
ella,ulipristal acetate,,ella is a progesterone agonist/antagonist emergency contraceptive indicated for prevention of pregnancy following unprotected intercourse or a known or suspected contraceptive failure.,2010-08-13,Hra,Emergency Contraception,Hormonal,Reproductive System Disorders
Suprep,"sodium sulfate, potassium sulfate, magnesium sulfate",Oral Solution,"Suprep (sodium sulfate, potassium sulfate, magnesium sulfate) is an osmotic laxative indicated for cleansing of the colon in preparation for colonoscopy in adults.",2010-08-05,Braintree,Bowel Preparation,Gastrointestinal,Gastrointestinal Diseases
Xeomin,incobotulinumtoxinA,Injection,"Xeomin (incobotulinumtoxinA) is a botulinum toxin type A for the treatment of cervical dystonia, blepharospasm, glabellar lines, upper limb spasticity, and excessive drooling.",2010-07-30,Merz Pharmaceuticals,"Cervical Dystonia, Blepharospasm, Facial Wrinkles, Upper Limb Spasticity, Excessive Salivation",Neurological,Neurological Disorders
Cuvposa,glycopyrrolate,Oral Solution,"Cuvposa (glycopyrrolate) oral solution is an anticholinergic for the treatment of chronic severe drooling caused by neurologic
disorders in children.",2010-07-28,Shionogi,Chronic Drooling in Children,Neurological,Neurological Disorders
Lastacaft,alcaftadine,Ophthalmic Solution,Lastacaft (alcaftadine ophthalmic solution) is a topical H1 histamine receptor antagonist for eye allergy itch relief.,2010-07-28,Allergan,"Conjunctivitis, Allergic",Ophthalmological,Ophthalmological Disorders
Tribenzor,"amlodipine, hydrochlorothiazide and olmesartan",Tablets,"Tribenzor (amlodipine, hydrochlorothiazide and olmesartan) is a three-in-one combination product taken once-daily for the treatment of hypertension.",2010-07-23,Daiichi Sankyo,High Blood Pressure,Cardiovascular,Cardiovascular Diseases
Veltin,clindamycin and tretinoin,Gel,Veltin Gel (clindamycin phosphate and tretinoin) is a combination of an antibiotic and a retinoid indicated for the topical treatment of acne vulgaris.,2010-07-16,Stiefel,Acne,Dermatological,Dermatological Conditions
Alsuma,sumatriptan,Injection,Marketing Status:Discontinued,2010-06-29,King Pharmaceuticals,"Migraine, Cluster Headaches",Neurological,Neurological Disorders
Glassia,alpha1-proteinase inhibitor (human),Injection,"Glassia is an alpha1-proteinase inhibitor that is indicated for chronic augmentation and maintenance therapy in adults with emphysema due to congenital deficiency of alpha1-proteinase inhibitor (Alpha1-PI), also known as alpha1antitrypsin deficiency.",2010-07-01,Kamada,Alpha-1 Proteinase Inhibitor Deficiency,Respiratory,Respiratory Diseases
Zuplenz,ondansetron,Oral Soluble Film,"Zuplenz (ondansetron) is an oral soluble film formulation of the approved 5-HT3 receptor antagonist ondansetron for the prevention of nausea and vomiting associated with chemotherapy, nausea and vomiting associated with radiotherapy, and postoperative nausea and/or vomiting.",2010-07-02,Aquestive Therapeutics,"Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Nausea/Vomiting, Radiation Induced",Gastrointestinal,Gastrointestinal Diseases
Butrans,buprenorphine,Transdermal System,"Butrans (buprenorphine) is a transdermal opioid analgesic for the management of moderate to severe chronic pain in patients
requiring continuous treatment for an extended period of time.",2010-06-30,Purdue,Pain,Analgesics,Musculoskeletal Disorders
Dulera,mometasone furoate and formoterol fumarate,Inhaler,Dulera (mometasone furoate and formoterol fumarate) is a combination product containing a corticosteroid and a long-acting beta2-adrenergic agonist indicated for the treatment of asthma in patients 5 years of age and older.,2010-06-22,Merck,Asthma,Respiratory,Respiratory Diseases
Staxyn,vardenafil,Orally Disintegrating Tablets,Staxyn (vardenafil) is a phosphodiesterase type 5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction.,2010-06-17,Glaxosmithkline And Merck,Erectile Dysfunction,Cardiovascular,Reproductive System Disorders
Jevtana,cabazitaxel,Injection,Jevtana (cabazitaxel) is a microtubule inhibitor indicated in combination with prednisone for treatment of patients with hormone-refractory metastatic prostate cancer.,2010-06-17,Sanofi-Aventis,Prostate Cancer,Antineoplastics,Cancers
Jalyn,dutasteride and tamsulosin,Capsules,Jalyn is a combination of dutasteride (5α-reductase inhibitor) and tamsulosin (alpha-adrenergic antagonist) indicated for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men with an enlarged prostate.,2010-06-14,Glaxosmithkline,Benign Prostatic Hyperplasia,Hormonal,Reproductive System Disorders
Cysview,hexaminolevulinate,Intravesical Solution,Cysview (hexaminolevulinate HCl) is an optical imaging agent indicated for use in the cystoscopic detection of non-muscle invasive papillary cancer of the bladder.,2010-05-28,Photocure Asa,Diagnosis and Investigation,Diagnostic,Ophthalmological Disorders
Prolia,denosumab,Injection,"Prolia is a RANK ligand (RANKL) inhibitor indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture, for the treatment of bone loss in patients with prostate or breast cancer undergoing hormone ablation therapy, as a treatment to increase bone mass in men with osteoporosis at high risk for fracture, and for the treatment of glucocorticoid-induced osteoporosis in men and women at high risk of fracture.",2010-06-01,Amgen,Osteoporosis,Hormonal,Musculoskeletal Disorders
Lumizyme,alglucosidase alfa,,Lumizyme (alglucosidase alfa) is a lysosomal glycogen-specific enzyme indicated for patients with Pompe disease.,2010-05-24,Genzyme,Pompe Disease,Enzyme Replacement Therapy,Genetic Disorders
Zymaxid,gatifloxacin,Ophthalmic Solution,"Zymaxid (gatifloxacin ophthalmic) is a fluoroquinolone anti-infective
indicated for the treatment of bacterial conjunctivitis.",2010-05-18,Allergan,"Conjunctivitis, Bacterial",Ophthalmological,Ophthalmological Disorders
Sprix,ketorolac tromethamine,Nasal Spray,Sprix (ketorolac tromethamine) is an  intranasal analgesic for the management of acute moderate to severe pain.,2010-05-14,Egalet,Pain,Analgesics,Musculoskeletal Disorders
Natazia,dienogest and estradiol valerate,,Natazia (dienogest and estradiol valerate) is a combination oral contraceptive indicated for use by women to prevent pregnancy and to treat heavy menstrual bleeding.,2010-05-06,Bayer Healthcare Pharmaceuticals,"Contraception, Heavy Menstrual Bleeding",Hormonal,Reproductive System Disorders
Vimovo,naproxen and esomeprazole magnesium,,"Vimovo is a combination of the pain reliever naproxen (NSAID) and esomeprazole magnesium (proton pump inhibitor) indicated for the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, and
ankylosing spondylitis, and to decrease the risk of developing gastric ulcers in patients at risk of developing NSAID-associated gastric ulcers.",2010-04-30,Horizon Therapeutics,"Osteoarthritis, Rheumatoid Arthritis, Ankylosing Spondylitis, NSAID-Induced Ulcer Prophylaxis",Anti-inflammatories,Musculoskeletal Disorders
Provenge,sipuleucel-T,Suspension for Intravenous Infusion,Provenge (sipuleucel-T) is an autologous cellular immunotherapy indicated for the treatment of asymptomatic or minimally symptomatic metastatic castrate resistant (hormone refractory) prostate cancer.,2010-04-29,Dendreon,Prostate Cancer,Immunological,Cancers
Zortress,everolimus,Tablets,Zortress (everolimus) is an oral inhibitor of the mTOR pathway indicated for the prevention of rejection of kidney transplants in adult patients at low-to-moderate immunologic risk.,2010-04-22,Novartis,"Organ Transplant, Rejection Prophylaxis",Immunological,Renal Disorders
Oravig,miconazole,Buccal Tablets,Oravig (miconazole) is a mucoadhesive buccal   azole antifungal therapy indicated for the local treatment of oropharyngeal candidiasis in adults.,2010-04-16,Bioalliance,Oral Thrush,Antifungals,Infectious Diseases
Pancreaze,pancrelipase,Delayed-Release Capsules,"Pancreaze (pancrelipase) is a combination of porcine-derived lipases, proteases, and amylases indicated for the treatment of exocrine pancreatic insufficiency due to cystic fibrosis or other conditions.",2010-04-12,Ortho-Mcneil-Janssen Pharmaceuticals,Pancreatic Exocrine Dysfunction,Gastrointestinal,Gastrointestinal Diseases
Asclera,polidocanol,Injection,Asclera (polidocanol) is a sclerosing agent used for the treatment of varicose veins.,2010-03-30,Chemische Fabrik Kreussler,Varicose Veins,Cardiovascular,Cardiovascular Diseases
Zyclara,imiquimod,Cream,Zyclara (imiquimod) is an immune response modifier indicated for the topical treatment of actinic keratoses and external genital warts.,2010-03-25,Graceway Pharmaceuticals,"Keratosis, Condylomata Acuminata",Dermatological,Dermatological Conditions
Carbaglu,carglumic acid,Tablets,Carbaglu (carglumic acid) is a carbamoyl phosphate synthetase 1 (CPS 1) activator indicated for the treatment of hyperammonemia due to the deficiency of the hepatic enzyme N-acetylglutamate synthase (NAGS).,2010-03-18,Orphan Europe,NAGS Deficiency Hyperammonemia,Nutritional Supplements,Genetic Disorders
Silenor,doxepin,Tablets,"Silenor (doxepin) is a low-dose oral tablet
formulation of the H1 receptor antagonist doxepin indicated for the treatment of insomnia characterized by difficulties with sleep maintenance.",2010-03-17,Somaxon Pharmaceuticals,Insomnia,Neurological,Mental Health Disorders
Hizentra,immune globulin subcutaneous (human),Liquid,"Hizentra (immune globulin subcutaneous (human)) is an immune globulin indicated for the treatment of primary immunodeficiency, and for the maintenance treatment of chronic inflammatory demyelinating polyneuropathy.",2010-03-04,Csl Behring,"Primary Immunodeficiency Syndrome, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",Immunological,Hematological Disorders
Exalgo,hydromorphone,Extended Release Tablets,Marketing Status:Discontinued,2010-03-01,Covidien,Pain in Opioid Tolerant Patients,Analgesics,Musculoskeletal Disorders
VPRIV,velaglucerase alfa,Injection,VPRIV (velaglucerase alfa) is a hydrolytic lysosomal glucocerebroside-specific enzyme indicated for long-term enzyme replacement therapy for pediatric and adult patients with Type 1 Gaucher disease.,2010-02-26,Shire,Gaucher Disease,Enzyme Replacement Therapy,Genetic Disorders
Prevnar 13,pneumococcal 13-valent conjugate vaccine,,Prevnar 13 (pneumococcal 13-valent conjugate vaccine) is a vaccine indicated for active immunization against invasive pneumococcal disease.,2010-02-24,Pfizer,Pneumococcal Disease Prophylaxis,Vaccines,Infectious Diseases
Cayston,aztreonam lysine,Inhalation Solution,"Cayston (aztreonam lysine for inhalation) is an inhaled anti-pseudomonal therapy for people with cystic fibrosis (CF) who have pulmonaryPseudomonas
aeruginosainfection.",2010-02-22,Gilead Sciences,Pneumonia with Cystic Fibrosis,Respiratory,Respiratory Diseases
Menveo,meningococcal conjugate vaccine,,"Menveo (Meningococcal (Groups A, C, Y and W-135) Oligosaccharide Diphtheria CRM197 Conjugate Vaccine) is a vaccine indicated for active immunization to prevent invasive meningococcal disease caused by Neisseria meningitidis serogroups A, C, Y and W-135.",2010-02-19,Glaxosmithkline,Meningococcal Disease Prophylaxis,Vaccines,Infectious Diseases
Xiaflex,collagenase clostridium histolyticum,,"Xiaflex (collagenase clostridium histolyticum) is a collagenase product for the treatment of Dupuytren's contracture, a condition that affects the connective tissue that lies beneath the skin in the palm.",2010-02-03,Biospecifics Technologies,Dupuytren's Contracture,Dermatological,Musculoskeletal Disorders
Oleptro,trazodone,Extended Release Tablets,Marketing Status:Discontinued,2010-02-02,Labopharm,Depression,Antidepressants,Mental Health Disorders
Victoza,liraglutide,Injection,"Victoza (liraglutide) is a glucagon-like peptide-1 (GLP-1) receptor agonist indicated to improve glycemic control in patients 10 years and older with type 2 diabetes mellitus, and to reduce the risk of heart attack, stroke and cardiovascular death in adults with type 2 diabetes and established cardiovascular disease.",2010-01-25,Novo Nordisk,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders
Ampyra,dalfampridine,Extended Release Tablets,Ampyra (dalfampridine) is an oral potassium channel blocker indicated to improve walking ability in people with multiple sclerosis.,2010-01-22,Acorda Therapeutics,Multiple Sclerosis,Neurological,Neurological Disorders
Actemra,tocilizumab,Injection,"Actemra (tocilizumab) is a humanized interleukin-6 (IL-6) receptor-inhibiting monoclonal antibody for the treatment of rheumatoid arthritis, giant cell arteritis, systemic sclerosis-associated interstitial lung disease, polyarticular juvenile idiopathic arthritis, systemic juvenile idiopathic arthritis, cytokine release syndrome, and COVID-19.",2010-01-08,Genentech,"Rheumatoid Arthritis, Giant Cell Arteritis, Systemic Sclerosis-Associated Interstitial Lung Disease, Juvenile Idiopathic Arthritis, Cytokine Release Syndrome, COVID-19",Immunological,Musculoskeletal Disorders
Zyprexa Relprevv,olanzapine,Extended Release Injectable Suspension,Zyprexa Relprevv (olanzapine) is a long-acting atypical antipsychotic for intramuscular injection indicated for the treatment of schizophrenia.,2009-12-11,Lilly,Schizophrenia,Antipsychotics,Mental Health Disorders
Wilate,von Willebrand Factor/Coagulation Factor VIII Complex (Human),Injection,Wilate (von Willebrand Factor/Coagulation Factor VIII Complex (Human)) is used in the management of von Willebrand disease and hemophilia A.,2009-12-04,Octapharma,"von Willebrand Disease, Hemophilia A",Immunological,Hematological Disorders
Kalbitor,ecallantide,Injection,"Kalbitor (ecallantide) is plasma kallikrein inhibitor indicated for treatment of
acute attacks of hereditary angioedema in patients 16 years of age and older.",2009-12-01,Dyax,Angioedema,Immunological,Autoimmune Diseases
Zegerid OTC,omeprazole and sodium bicarbonate,Capsules,"Zegerid OTC (omeprazole and sodium bicarbonate) is an over-the-counter version of the prescription heartburn
drug Zegerid.",2009-12-01,Merck  And Santarus,Heartburn,Gastrointestinal,Gastrointestinal Diseases
Agriflu,"influenza virus vaccine, inactivated",Injection,"Agriflu (influenza virus vaccine, inactivated) is a vaccine indicated for the active immunization of adults 18 years of age and older against influenza disease caused by influenza virus subtypes A and type B present in the vaccine.",2009-11-27,Novartis Vaccines And Diagnostics,Influenza Prophylaxis,Vaccines,Infectious Diseases
Qutenza,capsaicin,Transdermal Patch,"Qutenza (capsaicin) is a TRPV1 channel agonist indicated for the treatment of
neuropathic pain associated with postherpetic neuralgia (PHN) and neuropathic
pain associated with diabetic peripheral neuropathy (DPN) of the feet.",2009-11-16,Averitas,"Neuropathic Pain, Postherpetic Neuralgia, Diabetic Peripheral Neuropathy",Analgesics,Neurological Disorders
Lysteda ,tranexamic acid,Tablets,"Lysteda (tranexamic acid) is an antifibrinolytic agent for the treatment of women with menorrhagia, heavy menstrual bleeding (HMB), and its accompanying symptoms.",2009-11-13,Xanodyne Pharmaceuticals,Menorrhagia,Hormonal,Reproductive System Disorders
Istodax,romidepsin,Injection,Istodax (romidepsin) a histone deacetylase (HDAC) inhibitor indicated the treatment of cutaneous T-cell lymphoma and peripheral T-cell lymphoma.,2009-11-05,Gloucester Pharmaceuticals,Cutaneous T-cell Lymphoma,Antineoplastics,Cancers
Pennsaid,diclofenac sodium,Topical Solution,Pennsaid is a topical non-steroidal anti-inflammatory drug (NSAID) used for the treatment of signs and symptoms of osteoarthritis of the knee.,2009-11-04,Nuvo Research,Osteoarthritis,Anti-inflammatories,Musculoskeletal Disorders
Arzerra,ofatumumab,Injection,Arzerra (ofatumumab) is a CD20-directed cytolytic monoclonal antibody indicated for the treatment of patients with chronic lymphocytic leukemia.,2009-10-26,Glaxosmithkline,Chronic Lymphocytic Leukemia,Antineoplastics,Hematological Disorders
Votrient,pazopanib,Tablets,Votrient (pazopanib) is a kinase inhibitor indicated for the treatment of advanced renal cell carcinoma and advanced soft tissue sarcoma.,2009-10-19,Glaxosmithkline,"Renal Cell Carcinoma, Soft Tissue Sarcoma",Antineoplastics,Cancers
Twynsta,telmisartan and amlodipine,Tablets,Twynsta (telmisartan/amlodipine) is an angiotensin II receptor blocker (ARB) and a dihydropyridine calcium channel blocker (DHP-CCB) combination product indicated for the treatment of hypertension alone or with other antihypertensive agents.,2009-10-16,Boehringer Ingelheim Pharmaceuticals,High Blood Pressure,Cardiovascular,Cardiovascular Diseases
Cervarix,"human papillomavirus bivalent (types 16 and 18) vaccine, recombinant",Injection,Marketing Status:Discontinued,2009-10-16,Glaxosmithkline,Human Papillomavirus Prophylaxis,Vaccines,Cancers
Berinert,C1 esterase inhibitor (human),Injection,"Berinert (C1-esterase inhibitor (human)) is a plasma derived C1 esterase inhibitor indicated for the treatment of acute abdominal, facial, or laryngeal attacks of hereditary angioedema (HAE) in adult and pediatric patients.",2009-10-09,Csl Behring,Hereditary Angioedema,Immunological,Genetic Disorders
Stelara,ustekinumab,Injection,"Stelara (ustekinumab) is a human interleukin-12 and -23 antagonist indicated for the treatment of moderate to severe plaque psoriasis (Ps), active psoriatic arthritis (PsA), moderately to severely active Crohn’s disease (CD), and moderately to severely active ulcerative colitis.",2009-09-25,Janssen Biotech,"Psoriasis, Psoriatic Arthritis, Crohn's Disease, Maintenance, Ulcerative Colitis",Immunological,Autoimmune Diseases
Folotyn,pralatrexate,Injection,Folotyn (pralatrexate) is a folate analogue metabolic inhibitor indicated for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL).,2009-09-24,Allos Therapeutics,Peripheral T-cell Lymphoma,Antineoplastics,Hematological Disorders
Valturna,aliskiren and valsartan,Tablets,Marketing Status:Discontinued,2009-09-16,Novartis,High Blood Pressure,Cardiovascular,Cardiovascular Diseases
Influenza A (H1N1) 2009 Monovalent Vaccine,H1N1,2009 Monovalent Vaccine (H1N1 influenza virus vaccine),Influenza A (H1N1) 2009 Monovalent Vaccine is an inactivated influenza virus vaccine indicated for active immunization of persons 6 months of age and older against influenza disease caused by pandemic (H1N1) 2009 virus.,2009-09-15,Csl ; Novartis Vaccines And Diagnostics ; Sanofi Pasteur ; Medimmune,Prevention of H1N1 Influenza,Vaccines,Infectious Diseases
Zirgan,ganciclovir,Ophthalmic Gel,Zirgan (ganciclovir ophthalmic gel) is a topical ophthalmic antiviral preparation for the treatment of acute herpetic keratitis (dendritic ulcers).,2009-09-15,Sirion Therapeutics,Herpetic Keratitis,Ophthalmological,Ophthalmological Disorders
Vibativ ,telavancin,Injection,"Vibativ (telavancin) is a bactericidal, once-daily injectable antibiotic for the treatment of complicated skin and skin structure infections (cSSSI), and hospital-acquired and ventilator-associated bacterial pneumonia.",2009-09-11,Theravance,"Skin and Structure Infection, Pneumonia",Antibiotics,Infectious Diseases
Bepreve,bepotastine,Ophthalmic Solution,Bepreve (bepotastine ophthalmic solution) is an antihistamine and mast cell stabilizer for treatment of the symptoms of allergic conjunctivitis.,2009-09-08,Ista Pharmaceuticals,"Conjunctivitis, Allergic",Ophthalmological,Ophthalmological Disorders
Metozolv ODT,metoclopramide,Orally Disintegrating Tablets,Marketing Status:Discontinued,2009-09-04,Salix Pharmaceuticals,"GERD, Gastroparesis",Gastrointestinal,Gastrointestinal Diseases
Intuniv,guanfacine,Extended Release Tablets,Intuniv (guanfacine) is a nonstimulant selective alpha-2A-receptor agonist for the treatment of children and adolescents with Attention-Deficit/Hyperactivity Disorder (ADHD).,2009-09-02,Shire,Attention-Deficit Hyperactivity Disorder,Neurological,Neurological Disorders
Zenpep,pancrelipase,Capsules,"Zenpep (pancrelipase) is a combination of porcine-derived lipases, proteases, and amylases indicated for the treatment of exocrine pancreatic insufficiency due to cystic fibrosis, or other conditions.",2009-08-27,Allergan,Pancreatic Exocrine Dysfunction,Gastrointestinal,Gastrointestinal Diseases
Sabril,vigabatrin,Tablets and Oral Solution,Sabril (vigabatrin) is an oral irreversible GABA-transaminase inhibitor for the treatment of Infantile Spasms and refractory complex partial seizures.,2009-08-21,Lundbeck,"Epilepsy, Seizures",Neurological,Neurological Disorders
Hiberix,Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate),Solution for Intramuscular Injection,Hiberix is a vaccine indicated for active immunization as a booster dose for the prevention of invasive disease caused by Haemophilus influenzae type b. Hiberix is approved for use in children aged six weeks through four years of age (prior to fifth birthday).,2009-08-19,Glaxosmithkline,Haemophilus influenzae Prophylaxis,Vaccines,Infectious Diseases
Extavia,interferon beta-1b,,"Extavia is a branded version of interferon beta-1b, a first-line disease-modifying therapy that has been a standard-of-care for multiple sclerosis for many years. Extavia is indicated for the treatment of MS patients with relapsing forms of the disease and for newly diagnosed patients.",2009-08-14,Multiple Sclerosis,Immunological,Neurological Disorders
Saphris,asenapine,Sublingual Tablets,Saphris (asenapine) is an atypical antipsychotic for the treatment of schizophrenia and acute mania or mixed episodes associated with bipolar I disorder.,2009-08-13,Allergan,"Schizophrenia, Bipolar Disorder",Antipsychotics,Mental Health Disorders
Embeda,morphine sulfate and naltrexone hydrochloride,Extended Release Capsules,"Embeda is an abuse-deterrent, extended-release morphine preparation for the treatment of chronic pain.",2009-08-13,King Pharmaceuticals,Pain,Analgesics,Pain
Livalo,pitavastatin,Tablets,Livalo (pitavastatin) is an HMG CoA reductase inhibitor indicated for the primary treatment of hypercholesterolemia and combined dyslipidemia.,2009-08-03,Kowa Company,High Cholesterol,Cardiovascular,Cardiovascular Diseases
Xerese,acyclovir and hydrocortisone,Topical Cream,Xerese (acyclovir and hydrocortisone) is a topical antiviral and anti-inflammatory combination for the prevention and treatment of cold sores.,2009-07-31,Meda Pharmaceuticals,Cold Sores,Antivirals,Dermatological Conditions
Invega Sustenna ,paliperidone palmitate,Extended-Release Injectable Suspension,"Invega Sustenna (1-month paliperidone palmitate) is a  long-acting injectable atypical antipsychotic indicated 
for the treatment of schizophrenia and schizoaffective disorder.",2009-07-31,Janssen Pharmaceuticals,"Schizophrenia, Schizoaffective Disorder",Antipsychotics,Mental Health Disorders
Onglyza,saxagliptin,Tablets,Onglyza (saxagliptin) is a dipeptidyl peptidase-4 (DPP4) inhibitor indicated for the treatment of type 2 diabetes mellitus in adults.,2009-07-31,Astrazeneca,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders
Colcrys,colchicine,Tablets,"Colcrys (colchicine) is compound derived from the dried seeds of the autumn crocus or meadow saffron (Colchicum
autumnale). Colcrys is approved for the prophylaxis and treatment of acute gout flares, and for the treatment of patients with familial Mediterranean fever.",2009-07-29,Mutual Pharmaceutical Company,"Gout, Familial Mediterranean Fever, Gout, Prophylaxis, Gout, Acute",Anti-inflammatories,Musculoskeletal Disorders
Tyvaso,treprostinil,Inhalation Solution,Tyvaso (treprostinil) is a prostacyclin mimetic used for the treatment of pulmonary arterial hypertension and pulmonary hypertension associated with interstitial lung disease.,2009-07-30,United Therapeutics,Pulmonary Arterial Hypertension,Cardiovascular,Cardiovascular Diseases
Acuvail,ketorolac tromethamine,Ophthalmic Solution,"Acuvail (ketorolac tromethamine) is a preservative-free formulation of ketorolac, a nonsteroidal anti-inflammatory drug (NSAID) indicated for the treatment of pain and inflammation following cataract surgery.",2009-07-22,Allergan,Postoperative Ocular Inflammation,Ophthalmological,Ophthalmological Disorders
Onsolis,fentanyl,Buccal Soluble Film,Marketing Status:Discontinued,2009-07-16,Biodelivery Sciences International,Pain,Analgesics,Pain
Sumavel DosePro,sumatriptan,Injection,Marketing Status:Discontinued,2009-07-15,Zogenix,"Migraine, Cluster Headaches",Neurological,Neurological Disorders
Plan B One-Step,levonorgestrel,Tablet,Plan B One-Step (levonorgestrel) is a single dose emergency contraceptive pill to help prevent an unintended pregnancy after unprotected sex or contraceptive failure.,2009-07-10,Teva Pharmaceuticals,Emergency Contraception,Hormonal,Reproductive System Disorders
Effient,prasugrel,Tablets,Effient (prasugrel) is an oral antiplatelet agent for the treatment of patients with acute coronary syndrome (ACS) who are managed with percutaneous coronary intervention including coronary stenting.,2009-07-10,Daiichi Sankyo Company  And Eli Lilly,Acute Coronary Syndrome,Cardiovascular,Cardiovascular Diseases
Multaq,dronedarone,Tablets,Multaq (dronedarone) is antiarrhythmic drug indicated to reduce the risk of cardiovascular hospitalization in patients with atrial fibrillation or atrial flutter.,2009-07-01,Sanofi-Aventis,"Atrial Fibrillation, Atrial Flutter",Cardiovascular,Cardiovascular Diseases
Feraheme,ferumoxytol,Intravenous Injection,Feraheme (ferumoxytol) is an iron replacement therapy for the treatment of iron deficiency anemia in adult patients.,2009-06-30,Amag Pharmaceuticals,"Anemia Due to Chronic Kidney Disease, Iron Deficiency Anemia",Nutritional Supplements,Hematological Disorders
Cambia,diclofenac potassium,Oral Solution,Cambia (diclofenac potassium) is a non-steroidal anti-inflammatory drug combined with potassium bicarbonate for the treatment of acute migraine with or without aura in adults.,2009-06-17,Kowa Pharmaceuticals America,Migraine,Analgesics,Neurological Disorders
Ozurdex,dexamethasone,Intravitreal Implant,"Ozurdex (dexamethasone intravitreal implant) is a sustained-release, corticosteroid implant for the treatment of macular edema, non-infectious uveitis, and diabetic macular edema.",2009-06-17,Allergan,"Macular Edema, Uveitis",Ophthalmological,Ophthalmological Disorders
Ilaris,canakinumab,Injection,"Ilaris (canakinumab) is a human anti-interleukin-1β monoclonal antibody used for the treatment of Periodic Fever Syndromes, active Still’s disease, and gout flares.",2009-06-17,Novartis Pharmaceuticals,"Cryopyrin-Associated Periodic Syndromes, Juvenile Idiopathic Arthritis, Familial Cold Autoinflammatory Syndrome, Muckle Wells Syndrome, Familial Mediterranean Fever, Still's Disease, Tumor Necrosis Factor Receptor Associated Periodic Syndrome, Hyperimmunoglobulin D Syndrome",Immunological,Autoimmune Diseases
Zipsor,diclofenac potassium,Capsules,Zipsor is a rapid release diclofenac potassium formulation for the treatment of patients with mild to moderate acute pain.,2009-06-16,Xanodyne Pharmaceuticals,Pain,Analgesics,Musculoskeletal Disorders
Caldolor,ibuprofen,Intravenous Injection,Caldolor (ibuprofen) is an intravenous formulation of the approved nonsteroidal anti-inflammatory drug ibuprofen for use in the treatment of pain and fever.,2009-06-11,Cumberland Pharmaceuticals,"Pain, Fever",Anti-inflammatories,Musculoskeletal Disorders
Besivance,besifloxacin,Ophthalmic Suspension,"Besivance (besifloxacin ophthalmic suspension) is a topical quinolone antimicrobial for the treatment of bacterial conjunctivitis, commonly referred to as ""pink eye.""",2009-05-28,Bausch & Lomb,"Conjunctivitis, Bacterial",Ophthalmological,Ophthalmological Disorders
Adcirca,tadalafil,Tablets,Adcirca (tadalafil) is a once-daily phosphodiesterase type 5 (PDE5) inhibitor for the treatment of pulmonary arterial hypertension (PAH).,2009-05-22,United Therapeutics,Pulmonary Arterial Hypertension,Cardiovascular,Cardiovascular Diseases
Samsca,tolvaptan,Tablets,Samsca (tolvaptan) is an oral selective vasopressin antagonist for the treatment of patients with clinically significant hypervolemic and euvolemic hyponatremia.,2009-05-19,Otsuka Pharmaceutical Development Mmercialization,Hyponatremia,Cardiovascular,Renal Disorders
Fanapt,iloperidone,Tablets,"Fanapt (iloperidone) is a 5HT2/D2 antagonist (atypical) antipsychotic for the treatment of schizophrenia, and the acute treatment of manic or mixed episodes associated with bipolar I
disorder in adults.",2009-05-06,Vanda Pharmaceuticals,"Schizophrenia, Bipolar Disorder",Antipsychotics,Mental Health Disorders
Cycloset,bromocriptine mesylate,Tablets,"Cycloset (bromocriptine) is a first-in-class, central acting agent for the treatment of Type 2 Diabetes.",2009-05-05,Veroscience And S2 Therapeutics,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders
Creon,pancrelipase,Delayed-Release Capsules,"Creon (pancrelipase) is a combination of porcine-derived lipases, proteases, and amylases indicated for the treatment of exocrine pancreatic insufficiency due to cystic fibrosis, chronic pancreatitis, pancreatectomy, or other conditions.",2009-04-30,Solvay Pharmaceuticals,Pancreatic Exocrine Dysfunction,Gastrointestinal,Gastrointestinal Diseases
Cetraxal,ciprofloxacin otic,Solution,Cetraxal (ciprofloxacin otic) is an antibiotic ear solution for the treatment of acute otitis externa.,2009-05-01,Salvat,Otitis Externa,Antibiotics,Dermatological Conditions
